amount,description,accrual_date,transaction_date,category_id,customer_id
1.5,revenue from doctors,2024-04-04,2024-04-04,1,1
2.5,revenue from doctors,2024-04-05,2024-04-04,2,1
3.5,revenue from doctors,2024-04-06,2024-04-04,3,1
4.5,revenue from doctors,2024-04-07,2024-04-04,4,1
5.5,revenue from doctors,2024-04-08,2024-04-04,5,1
5.5,revenue from doctors,2024-05-05,2024-05-04,6,1
15.5,revenue from doctors,2024-05-05,2024-05-04,7,1
8.5,revenue from doctors,2024-05-05,2024-05-04,8,1
5.5,revenue from doctors,2024-05-05,2024-05-04,9,1
1.5,revenue from doctors,2024-04-04,2024-04-04,1,2
2.5,revenue from doctors,2024-04-05,2024-04-04,2,2
3.5,revenue from doctors,2024-04-06,2024-04-04,3,2
4.5,revenue from doctors,2024-04-07,2024-04-04,4,2
5.5,revenue from doctors,2024-04-08,2024-04-04,15,2
5.5,revenue from doctors,2024-05-05,2024-05-04,7,2
15.5,revenue from doctors,2024-05-05,2024-05-04,8,2
8.5,revenue from doctors,2024-05-05,2024-05-04,11,2
5.5,revenue from doctors,2024-05-05,2024-05-04,12,2
1.5,revenue from doctors,2024-04-04,2024-04-04,1,3
2.5,revenue from doctors,2024-04-05,2024-04-04,2,4
3.5,revenue from doctors,2024-04-06,2024-04-04,3,5
4.5,revenue from doctors,2024-04-07,2024-04-04,4,5
5.5,revenue from doctors,2024-04-08,2024-04-04,15,3
5.5,revenue from doctors,2024-05-05,2024-05-04,7,3
15.5,revenue from doctors,2024-05-05,2024-05-04,8,6
8.5,revenue from doctors,2024-05-05,2024-05-04,11,6
5.5,revenue from doctors,2024-05-05,2024-05-04,12,7
